start_year,start_month,trips_by_month_and_year
2013,8,2102
2013,9,25243
2013,10,29105
2013,11,24219
2013,12,19894
2014,1,24428
2014,2,19024
2014,3,24593
2014,4,26221
2014,5,28502
2014,6,29982
2014,7,31279
2014,8,31215
2014,9,31682
2014,10,34220
2014,11,25516
2014,12,19677
2015,1,27840
2015,2,26401
2015,3,31626
2015,4,31363
2015,5,29540
2015,6,31907
2015,7,32476
2015,8,31904
2015,9,30396
2015,10,31053
2015,11,23356
2015,12,18390
2016,1,19520
2016,2,24560
2016,3,25558
2016,4,26612
2016,5,28322
2016,6,29783
2016,7,25784
2016,8,30355
